Part,Operator,Measurement
1,A,37
1,A,38
1,A,37
1,B,41
1,B,41
1,B,40
1,C,41
1,C,42
1,C,41
2,A,42
2,A,41
2,A,43
2,B,42
2,B,42
2,B,42
2,C,43
2,C,42
2,C,43
3,A,30
3,A,31
3,A,31
3,B,31
3,B,31
3,B,31
3,C,29
3,C,30
3,C,28
4,A,42
4,A,43
4,A,42
4,B,43
4,B,43
4,B,43
4,C,42
4,C,42
4,C,42
5,A,28
5,A,30
5,A,29
5,B,29
5,B,30
5,B,29
5,C,31
5,C,29
5,C,29
6,A,42
6,A,42
6,A,43
6,B,45
6,B,45
6,B,45
6,C,44
6,C,46
6,C,45
7,A,25
7,A,26
7,A,27
7,B,28
7,B,28
7,B,30
7,C,29
7,C,27
7,C,27
8,A,40
8,A,40
8,A,40
8,B,43
8,B,42
8,B,42
8,C,43
8,C,43
8,C,41
9,A,25
9,A,25
9,A,25
9,B,27
9,B,29
9,B,28
9,C,26
9,C,26
9,C,26
10,A,35
10,A,34
10,A,34
10,B,35
10,B,35
10,B,34
10,C,35
10,C,34
10,C,35